base,folder,camera,file,subfolder,filename,class,count,date_time,date_time_original,focal_length,exif_image_width,exif_image_length,waypoint,site,habitat,canopy_cov,elev_m,sui_top,sui_bottom,lon,lat,face_num,face_dir,camera angle,incline parallel,incline perpendicular,distance to quadrat_cm,deploy date,removal date,notes,aji_note
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0001.JPG.JPG,cf. Euphrasia rostkoviana,1,2023:06:13 15:07:28,2023:06:13 15:07:28,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0003.JPG.JPG,cf. Asperula cynanchica aggr.,2,2023:06:13 17:07:31,2023:06:13 17:07:31,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0005.JPG.JPG,Yellow flower,2,2023:06:13 19:07:34,2023:06:13 19:07:34,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0005.JPG.JPG,cf. Lamiaceae,1,2023:06:13 19:07:34,2023:06:13 19:07:34,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0006.JPG.JPG,cf. Lamiaceae,2,2023:06:13 20:07:36,2023:06:13 20:07:36,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0006.JPG.JPG,White flower,1,2023:06:13 20:07:36,2023:06:13 20:07:36,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0007.JPG.JPG,White flower,1,2023:06:13 21:07:37,2023:06:13 21:07:37,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0009.JPG.JPG,White flower,1,2023:06:14 06:00:02,2023:06:14 06:00:02,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0012.JPG.JPG,cf. Pimpinella saxifraga,1,2023:06:14 09:00:07,2023:06:14 09:00:07,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
,,CID010,DCIM,100MEDIA,CalPhe2023_CID010_DCIM_100MEDIA_DSCF0013.JPG.JPG,cf. Pimpinella saxifraga,1,2023:06:14 10:00:09,2023:06:14 10:00:09,5/2,5200,3900,551,cal,montane,0,600,756290,195000,9.48949,46.88773,345,n,5,24,15,427,27.04.2022,06.10.2022,NA,NA
